sqrts_GeV,centrality,Tch_GCER_MeV,Tch_GCER_syst,Tch_GCEY_MeV,Tch_GCEY_syst,muB_GCER_MeV,muB_GCER_syst,muB_GCEY_MeV,muB_GCEY_syst,muS_GCER_MeV,muS_GCER_syst,muS_GCEY_MeV,muS_GCEY_syst,gammaS_GCER,gammaS_GCER_syst,gammaS_GCEY,gammaS_GCEY_syst,R_GCEY_fm,R_GCEY_syst,chi2ndf_GCER,chi2ndf_GCEY,interpolated
7.7,00-05,144.3,4.8,143.8,2.7,398.2,16.4,399.8,13.3,89.5,6.0,90.2,7.6,0.95,0.08,1.05,0.06,5.89,0.33,1.4,1.3,False
7.7,05-10,143.0,4.7,142.9,2.6,393.5,15.6,395.6,13.0,88.5,5.7,89.8,7.5,0.95,0.08,1.04,0.06,5.65,0.31,1.2,1.0,False
7.7,10-20,143.8,4.6,144.7,2.6,388.0,14.9,391.6,12.1,86.4,5.4,87.1,7.0,0.88,0.07,0.95,0.05,5.08,0.27,0.9,1.1,False
7.7,20-30,143.5,4.5,144.9,2.6,379.5,14.4,382.4,11.8,85.2,5.2,85.7,7.0,0.85,0.07,0.88,0.05,4.58,0.24,0.6,1.0,False
7.7,30-40,145.9,4.9,146.2,2.8,375.4,15.3,376.1,12.9,85.5,5.7,87.6,7.4,0.78,0.07,0.82,0.05,3.95,0.22,0.9,0.6,False
7.7,40-60,144.7,4.7,145.5,2.7,355.6,13.9,357.8,12.0,80.3,5.2,82.2,7.0,0.68,0.06,0.71,0.04,3.28,0.17,0.7,0.9,False
7.7,60-80,143.4,4.7,143.3,2.8,337.5,13.7,337.8,12.0,79.3,5.5,79.5,8.0,0.47,0.04,0.49,0.03,2.4,0.13,1.0,0.7,False
9.2,10-20,147.6456,4.9897,148.5667,2.8954,341.0297,14.0201,346.0724,12.4519,76.6149,5.2127,78.7998,7.4764,0.9023,0.0805,0.965,0.0561,5.0475,0.2854,1.0824,1.2036,True
9.2,20-30,148.5196,5.1203,150.3359,3.0214,333.9057,13.877,337.6927,12.316,75.4962,5.1988,76.5904,7.4143,0.8459,0.0744,0.8747,0.0508,4.424,0.2551,0.6683,1.1206,True
9.2,30-40,150.2558,5.357,151.5079,3.2361,327.883,14.314,329.9628,13.0736,74.7309,5.4395,76.2094,7.6594,0.775,0.0755,0.8163,0.0508,3.8345,0.2302,0.8052,0.9219,True
11.5,00-05,149.4,5.2,150.6,3.2,287.3,12.5,292.5,12.6,64.5,4.7,66.0,7.6,0.92,0.09,1.0,0.06,6.16,0.36,1.0,1.1,False
11.5,05-10,150.1,5.4,150.5,3.2,288.9,12.9,294.6,13.1,65.8,4.9,70.0,7.8,0.96,0.09,1.04,0.06,5.69,0.34,1.4,1.3,False
11.5,10-20,151.8,5.4,153.1,3.2,284.9,12.7,291.6,12.4,65.1,4.9,68.6,7.7,0.92,0.09,0.98,0.06,5.02,0.3,1.2,1.3,False
11.5,20-30,153.5,5.7,155.9,3.4,278.7,12.8,283.6,12.3,63.9,5.0,65.6,7.5,0.85,0.08,0.88,0.05,4.31,0.27,0.7,1.2,False
11.5,30-40,154.6,5.8,156.9,3.6,270.1,12.8,273.8,12.7,61.9,5.0,62.9,7.6,0.78,0.08,0.82,0.05,3.76,0.24,0.7,1.2,False
11.5,40-60,155.3,5.9,157.9,3.7,256.0,12.4,259.2,12.6,60.2,5.0,62.5,7.6,0.69,0.07,0.71,0.04,3.02,0.19,0.7,1.3,False
11.5,60-80,151.6,5.4,154.3,3.5,227.3,10.8,229.4,12.2,54.6,4.4,54.6,7.6,0.52,0.05,0.54,0.03,2.26,0.14,0.5,0.8,False
14.6,10-20,154.7841,5.659,157.0195,3.3791,233.29,11.0303,241.3699,11.564,54.6752,4.4698,58.6629,7.3299,0.9234,0.0937,0.99,0.0583,5.0191,0.3066,1.1573,1.3522,True
