sqrts_GeV,centrality,Tch_SCER_MeV,Tch_SCER_syst,Tch_SCEY_MeV,Tch_SCEY_syst,muB_SCER_MeV,muB_SCER_syst,muB_SCEY_MeV,muB_SCEY_syst,gammaS_SCER,gammaS_SCER_syst,gammaS_SCEY,gammaS_SCEY_syst,R_SCEY_fm,R_SCEY_syst,chi2ndf_SCER,chi2ndf_SCEY
7.7,00-05,143.9,2.0,143.5,2.2,397.5,8.9,400.1,13.2,0.97,0.07,1.08,0.06,5.92,0.29,1.4,1.0
7.7,05-10,144.2,2.1,143.2,2.2,397.7,8.8,395.9,13.1,0.95,0.07,1.05,0.06,5.62,0.28,1.2,0.9
7.7,10-20,144.6,2.0,144.3,2.1,390.8,8.4,391.8,12.0,0.89,0.06,0.98,0.05,5.11,0.23,0.9,0.9
7.7,20-30,146.0,1.9,145.2,2.1,387.3,8.0,383.0,11.9,0.84,0.05,0.91,0.05,4.55,0.21,0.7,0.8
7.7,30-40,148.4,2.3,147.5,2.4,383.0,8.8,377.6,13.1,0.78,0.06,0.84,0.04,3.85,0.20,0.9,0.6
7.7,40-60,150.4,2.4,147.7,2.5,371.7,8.7,361.0,12.3,0.68,0.05,0.76,0.04,3.13,0.16,0.9,0.8
7.7,60-80,156.9,3.2,147.6,3.0,376.5,10.2,347.4,12.3,0.48,0.04,0.65,0.04,2.19,0.13,2.6,1.5
11.5,00-05,152.7,2.4,151.0,2.7,294.6,7.1,291.7,12.5,0.90,0.07,1.00,0.06,6.12,0.33,1.1,0.9
11.5,05-10,153.2,2.9,151.8,2.9,295.8,9.2,292.7,13.1,0.94,0.08,1.03,0.06,5.58,0.32,1.5,1.2
11.5,10-20,154.3,2.9,153.6,2.8,290.4,9.0,290.6,12.3,0.91,0.07,0.99,0.05,4.97,0.28,1.2,1.1
11.5,20-30,155.9,3.0,155.9,2.9,283.6,9.0,283.8,12.1,0.84,0.06,0.90,0.05,4.31,0.23,0.7,0.9
11.5,30-40,157.2,2.6,157.0,3.1,275.5,7.5,274.6,12.6,0.79,0.06,0.85,0.05,3.75,0.21,0.7,0.9
11.5,40-60,160.8,3.5,159.6,3.4,266.5,9.3,259.7,12.8,0.69,0.06,0.76,0.04,2.91,0.18,0.9,0.9
11.5,60-80,166.1,3.9,158.8,3.6,254.3,9.8,233.2,12.4,0.54,0.05,0.71,0.04,2.05,0.13,2.2,1.3
19.6,00-05,158.6,3.5,157.6,2.8,192.9,8.2,194.2,8.4,0.91,0.07,1.10,0.05,6.03,0.33,1.3,1.6
19.6,05-10,159.8,3.7,158.3,2.9,193.3,8.3,191.7,8.4,0.89,0.07,1.06,0.05,5.64,0.31,1.0,1.1
19.6,10-20,161.9,4.0,160.6,3.0,191.3,9.2,190.3,8.7,0.87,0.07,1.00,0.04,5.01,0.29,1.1,1.3
19.6,20-30,162.8,3.8,161.4,3.0,183.5,8.3,181.8,8.2,0.85,0.07,0.96,0.04,4.42,0.24,0.9,1.0
19.6,30-40,163.9,4.0,162.4,3.1,172.8,8.3,170.6,8.4,0.81,0.06,0.90,0.04,3.86,0.22,0.8,1.0
19.6,40-60,165.7,4.6,163.3,3.4,161.2,8.4,155.1,8.6,0.74,0.06,0.81,0.04,3.10,0.19,0.8,0.9
19.6,60-80,167.6,4.9,161.7,3.6,142.8,8.4,129.1,8.7,0.62,0.06,0.76,0.04,2.19,0.14,1.3,0.7
